Word,Length,Log_Freq_HAL,I_Mean_RT,I_Mean_Accuracy
abounding,9,4.61,884.52,0.91
abounds,7,5.75,678.9,0.89
about,5,14.08,628.19,0.94
above,5,12.09,564.33,0.94
aboveground,11,2.94,830.65,0.94
abracadabra,11,4.29,889.25,0.65
Abraham,7,8.25,782.84,1
abrasion,8,5.52,807.35,0.79
abrasive,8,6.36,710.59,0.94
abreast,7,6.2,846.48,0.94
abridged,8,6.68,927.29,0.91
abridgment,10,3.74,1152.61,0.6
abroad,6,8.7,654.69,0.97
abrogate,8,4.61,798.58,0.38
abrogated,9,4.85,818.53,0.47
abrupt,6,6.58,690.97,1
abruptly,8,7.11,701.21,0.97
abruptness,10,3.14,817.68,0.82
abscess,7,4.56,1033.5,0.58
abscesses,9,4.69,1061.21,0.68
abscissa,8,2.89,953.15,0.41
abscond,7,2.83,774.11,0.26
absence,7,8.9,687,0.97
absences,8,4.96,812.12,0.97
absent,6,8.01,665.32,1
absented,8,1.39,794.58,0.84
absentee,8,5.02,886.79,0.85
absenteeism,11,4.36,963.42,0.59
absently,8,5.25,648.1,0.94
absentmindedly,14,3.89,1038.53,0.66
absinth,7,2.08,744.5,0.07
absolute,8,9.73,707.03,1
absolutely,10,10.52,667,1
absoluteness,12,3.14,888.84,0.97
absolutes,9,6.38,826.7,0.94
absolution,10,4.94,842.88,0.8
absolutism,10,5.28,934.96,0.82
absolve,7,5.41,730.12,0.76
absorb,6,7.93,633.78,0.97
absorbed,8,7.99,735.41,0.97
absorbency,10,4.41,955.82,0.85
absorbent,9,5.26,793.73,0.91
absorber,8,4.96,794.7,0.86
absorbing,9,6.84,747.06,0.97
absorbs,7,6.43,675,1
absorption,10,7.46,825.69,0.88
absorptions,11,2.4,841.13,1
absorptive,10,3.47,873.88,0.57
abstain,7,6.87,729.5,0.88
abstaining,10,5.25,861.88,0.97
abstention,10,4.28,985.39,0.69
abstinence,10,6.89,884.38,0.91
abstinent,9,4.29,968.9,0.7
abstract,8,9.06,667.91,0.97
abstracted,10,5.56,790.52,1
abstractedness,14,0.69,1073.32,0.97
abstracting,11,4.73,875.26,0.97
abstraction,11,7.38,820.06,1
abstractionism,14,0,1100,0.94
abstractionists,15,1.1,1187.81,0.93
abstractions,12,6.24,864.34,0.94
abstractive,11,1.95,972.32,0.85
abstractly,10,4.96,806.33,0.97
abstractors,11,0,942.86,0.88
abstracts,9,8.32,766.5,1
abstruse,8,5.06,1042.6,0.45
absurd,6,8.51,736.57,0.94
absurdities,11,5.7,928.44,0.78
absurdity,9,6.99,860.47,0.94
absurdly,8,5.76,808.72,0.88
abundance,9,7.51,698.73,0.97
abundant,8,7.23,660.75,0.97
abuse,5,10.16,608.69,0.97
abused,6,8.71,620.94,0.97
abuses,6,8.11,632.58,0.97
abusive,7,8.17,799.24,0.97
abut,4,5.56,1072.33,0.09
abutment,8,2.94,1089.5,0.19
abutments,9,2.89,1164.25,0.12
abysmal,7,6.43,714.58,0.35
abyss,5,8.35,651.44,0.76
acacia,6,5.36,1013.5,0.06
academic,8,9.78,716.91,0.97
academically,12,6.59,868.61,0.97
academicianship,15,0,1150.45,0.48
academics,9,7.5,682.52,0.97
academies,9,6.87,794.96,0.8
academy,7,9.4,630.97,1
Acadia,6,5.72,959.62,0.39
Acapulco,8,5.19,927.84,0.76
accede,6,5,967.25,0.43
acceded,7,4.13,880.11,0.56
accelerando,11,1.95,1069.4,0.16
accelerate,10,7.77,710.85,0.97
accelerated,11,8.12,741.56,0.94
accelerating,12,6.94,832.61,0.94
acceleration,12,8.34,712.16,0.91
accelerations,13,5.13,828.49,1
accelerator,11,8.55,838.23,1
accelerators,12,7.29,791.89,0.97
accelerometer,13,4.25,1130.87,0.56
accelerometers,14,4.14,1029.23,0.52
accent,6,8.56,674.97,1
accented,8,7.07,642.73,0.91
accenting,9,3.99,819.32,0.94
accents,7,7.49,641.22,0.94
accentual,9,0,865,0.81
accentuate,10,5.08,765.43,0.91
accentuated,11,5.26,938.72,0.88
accentuates,11,4.04,995.73,0.73
accept,6,10.81,556.39,0.97
acceptable,10,9.7,661.06,0.97
acceptance,10,9.08,660.75,0.97
accepted,8,10.43,597.79,0.94
accepting,9,8.94,630.55,1
accepts,7,8.43,735.67,0.94
access,6,12.06,677.79,0.97
accesses,8,7.77,749.39,0.97
accessible,10,9.28,709.22,1
accessions,10,3.87,919.41,0.87
accessories,11,8.65,704.88,1
accessors,9,5.15,912.17,0.72
accessory,9,7.2,687.36,0.97
accident,8,9.32,621.78,0.97
accidental,10,7.76,691,0.97
accidentally,12,8.4,704.6,1
accidents,9,8.33,632.74,1
acclaim,7,6.79,828.19,0.94
acclaimed,9,6.96,694.97,0.97
acclaims,8,1.95,801.13,0.91
acclamation,11,3.26,816,0.77
acclimate,9,4.57,863.13,0.77
acclimatized,12,2.83,1205.63,0.48
accolade,8,6.56,960.35,0.55
accolades,9,5.42,899.06,0.53
accommodate,11,7.81,726.15,1
accommodated,12,5.71,705.59,1
accommodates,12,4.91,756.63,0.94
accommodating,13,6.1,760.45,0.97
accommodation,13,7.6,864.83,0.97
accommodations,14,7.27,770.88,1
accompanied,11,8.4,787.09,0.97
accompanies,11,6.58,803.45,0.91
accompaniment,13,6.57,728.36,0.92
accompaniments,14,3.58,1015.39,0.88
accompanist,11,5.05,817.18,0.93
accompanists,12,4.29,886.08,0.89
accompany,9,7.67,725.84,0.91
accompanying,12,8,899.42,0.94
accomplice,10,5.64,784.33,0.97
accomplices,11,5.39,940.52,0.94
accomplish,10,8.96,773.12,0.97
accomplished,12,8.85,726.79,1
accomplishes,12,6.38,862.14,1
accomplishing,13,6.56,708.63,0.94
accomplishment,14,7.17,803.06,0.97
accomplishments,15,7.6,776.33,0.93
accord,6,8.17,683.71,0.97
accordance,10,8.49,767.24,1
accorded,8,6.33,763.74,0.97
according,9,11.08,707.18,1
accordingly,11,8.54,736.58,0.97
accordion,9,6.38,930.2,0.76
accords,7,6.88,680.44,1
accost,6,3.43,806.81,0.76
accosted,8,5.12,796.65,0.59
accosting,9,3.18,838.54,0.73
account,7,11.02,619.38,1
accountability,14,7.3,821.21,1
accountable,11,7.76,729.33,0.97
accountant,10,7.33,817.19,0.94
accountants,11,7.32,742.86,1
accounted,9,7.31,664.83,1
accounting,10,9.66,632.09,1
accounts,8,9.8,644.92,1
accredit,8,3.56,839.71,0.71
accreditation,13,6.33,975,0.97
accredited,10,6.96,773.91,0.97
accrue,6,6.42,704.89,0.56
accrued,7,5.44,851.08,0.73
accrues,7,4.14,917.33,0.45
accruing,8,5.04,897.14,0.64
acculturated,12,3.18,1061.47,0.76
acculturation,13,3.56,1047.95,0.7
accumulate,10,7.24,734.09,1
accumulated,11,7.67,748.26,1
accumulates,11,5.52,749.78,0.97
accumulating,12,6.32,776.41,1
accumulation,12,7.1,859.88,0.97
accuracy,8,9.26,615.97,1
accurate,8,9.98,728.24,1
accurately,10,8.59,807.22,0.94
accurst,7,1.39,914.9,0.29
accusation,10,7.69,819.06,0.97
accusations,11,8.15,763.73,0.91
accusative,10,4.63,1071.37,0.63
accuse,6,8.24,626.36,1
accused,7,9.12,661.97,0.97
accuses,7,6.7,758.7,0.94
accusing,8,7.74,743.55,1
accusingly,10,3.66,809.74,0.94
accustom,8,4.32,751.48,0.83
accustomed,10,7.43,735.72,1
ace,3,8.85,579.03,1
acerbic,7,4.33,829.89,0.28
aces,4,7.52,768.94,0.91
acetate,7,6.3,856.65,0.76
acetone,7,6.05,793.04,0.73
acetylene,9,4.41,1084,0.52
ache,4,6.74,631.66,0.91
ached,5,5.69,797.04,0.88
aches,5,6.04,683.77,0.91
achieve,7,9.65,702.82,0.97
achieved,8,9.02,700.09,0.97
achievement,11,8.28,746.68,1
achievements,12,7.64,700.36,1
achieves,8,6.64,757.23,0.91
achieving,9,8.06,657.17,0.94
Achilles,8,6.53,751.19,0.81
aching,6,7,799.6,0.91
acid,4,9.52,615.69,0.97
acidic,6,6.7,753.85,0.76
acidity,7,5.55,738.67,0.82
acids,5,7.75,636.75,0.91
acknowledge,11,8.82,771.38,0.97
acknowledged,12,8.28,810.85,1
acknowledgement,15,7.51,735.76,0.88
acknowledges,12,6.97,951.52,0.94
acknowledging,13,7.1,857.81,0.97
acknowledgment,14,6.85,850.67,1
acknowledgments,15,6.01,917.36,0.9
acme,4,6.81,772,0.85
acne,4,6.28,627.94,0.94
acolyte,7,6.1,731.18,0.35
acorn,5,9.02,721.96,0.79
acorns,6,5.88,735.07,0.88
acoustic,8,8.59,793.44,0.97
acoustical,10,5.6,855.69,0.94
acoustically,12,5.06,988.35,0.87
acoustics,9,7.12,789.03,0.91
acquaint,8,5.12,858.73,0.94
acquaintance,12,7.15,807.45,1
acquainted,10,6.93,796.61,0.97
acquiesce,9,4.68,881.84,0.59
acquiesced,10,4.71,934.5,0.4
acquiescence,12,4.51,927.75,0.75
acquiescent,11,2.94,714,0.57
acquire,7,8.78,673.94,0.94
acquired,8,8.76,710,0.97
acquires,8,6.13,748.42,0.97
acquiring,9,7.58,731.74,0.91
acquisition,11,8.52,785.59,0.94
acquisitions,12,7,779.12,0.97
acquisitive,11,3.69,908.64,0.93
acquisitiveness,15,1.39,1216.81,0.64
acquit,6,4.61,832.44,0.86
acquittal,9,5.52,905.54,0.81
acquitted,9,6.41,802.06,1
acre,4,7.35,723,0.97
acreage,7,5.44,1018,0.19
acres,5,8.28,679.03,0.97
acrid,5,4.71,762.29,0.52
acrimonious,11,4.73,1115.45,0.33
acrimony,8,4.49,784.5,0.36
acrobat,7,7.8,755.88,0.97
acrobatic,9,5.12,832.78,0.97
acrobatics,10,5.99,958.93,0.94
acrobats,8,4.19,715.18,1
acronym,7,7.58,831.33,0.79
Acropolis,9,4.69,905,0.78
across,6,11.04,589.47,1
acrylic,7,6.74,782.81,0.97
act,3,11.19,635.18,1
acted,5,8.5,652.76,0.97
acting,6,9.68,584.81,0.97
action,6,11.26,564.13,1
actions,7,10.3,643.75,1
activate,8,8.16,657.35,0.97
activated,9,8.09,752.13,1
activating,10,6.48,700.47,0.94
activation,10,7.56,806.54,1
active,6,10.48,632.74,1
actively,8,8.87,703.78,0.94
activism,8,7.35,653.09,0.97
activist,8,8.17,697.69,1
activities,10,10.4,713.27,0.91
activity,8,10.18,714.84,1
actor,5,9.26,539.97,0.97
actors,6,8.89,647.87,0.94
actor's,7,5.89,588.29,1
actress,7,8.52,687.53,1
actresses,9,7.42,860.76,0.97
acts,4,9.87,590.34,1
actual,6,10.62,623.32,0.97
actualities,11,3.64,833.86,0.85
actuality,9,6.86,829,1
actually,8,12.19,647.27,1
actuary,7,3.89,711.67,0.55
acuity,6,5.43,862.47,0.56
acupuncture,11,6.26,853.2,0.91
acute,5,7.79,649.53,1
acutely,7,5.81,818.93,0.91
acuteness,9,2.94,874.47,0.94
ad,2,10.67,740.94,0.94
Ada,3,9.64,882.82,0.49
adage,5,6.22,769.85,0.41
Adam,4,9.88,602.12,0.94
adamant,7,6.44,823,0.66
adamantly,9,5.8,836,0.65
Adam's,6,6.61,611.76,1
adapt,5,8.13,660.36,1
adaptability,12,5.43,893.61,0.9
adaptable,9,6.69,899.62,0.85
adaptation,10,7.6,804.5,0.94
adaptations,11,6.23,825.94,0.94
adapted,7,8.04,684.82,1
adapter,7,9.62,813.59,1
adapters,8,8.44,811.64,0.97
adapting,8,6.59,754.36,1
Ada's,5,5.11,926.58,0.56
add,3,11.64,657.55,1
added,5,11.04,644,1
addendum,8,7.2,936.31,0.48
adder,5,5.86,732,0.49
addict,6,7.54,600.9,0.97
addicted,8,7.75,661.73,1
addiction,9,8.14,628.29,0.97
addicts,7,7.55,722.97,1
adding,6,10.09,648.36,1
addition,8,10.76,601.69,0.91
additional,10,10.93,678.94,0.97
additionally,12,8.8,820.39,0.97
additions,9,9.13,718.52,0.97
additive,8,6.81,711.35,0.97
additives,9,7.14,782.39,0.97
addle,5,1.95,1107.13,0.24
address,7,12.31,582.3,1
addressed,9,9.4,673.31,1
addressee,9,5.44,944.86,0.67
addressees,10,4.61,763.76,0.91
addresses,9,10.47,757.77,0.97
addressing,10,8.87,689.76,1
adds,4,9.38,632.21,1
adduce,6,4.47,748.67,0.1
Adele,5,5.36,881.29,0.64
adept,5,7.47,759.21,0.75
adequacy,8,6.01,780.64,0.9
adequate,8,9.01,674.69,0.97
adequately,10,7.96,698.24,0.86
adhere,6,7.57,720.67,0.94
adhered,7,5.96,781.91,0.67
adherence,9,6.81,880.56,0.78
adherent,8,4.96,823.79,0.75
adherents,9,6.54,912.07,0.84
adheres,7,5.57,822.82,0.9
adhesion,8,5.93,912.42,0.71
adhesive,8,6.84,787.21,0.97
adhesives,9,5.08,766.38,0.85
adieu,5,4.96,900.14,0.65
adios,5,6.2,746.42,0.56
adipose,7,4.82,887.36,0.44
adirondack,10,5.86,981.1,0.33
adirondacks,11,4.78,917.21,0.41
adjacent,8,8.1,748.12,1
adjectival,10,3.66,1051,0.34
adjective,9,6.95,671.35,0.94
adjectives,10,6.43,749.84,0.97
adjoin,6,2.3,907.9,0.64
adjoined,8,2.89,754.28,0.85
adjoining,9,6.44,809.74,0.91
adjoins,7,3.5,891.85,0.82
adjourn,7,5.12,733.67,0.94
adjourned,9,5.4,890.55,0.91
adjourning,10,1.95,820.21,0.85
adjournment,11,4.64,977.61,0.85
adjourns,8,2.4,863,0.76
adjudge,7,2.4,784.6,0.15
adjudged,8,4.16,878.27,0.35
adjudging,9,0.69,1019.43,0.22
adjudicate,10,4.76,1062.19,0.68
adjudication,12,5.39,975.56,0.62
adjunct,7,6.61,758.2,0.81
adjuncts,8,4.7,791.69,0.83
adjure,6,2.3,817.1,0.66
adjust,6,9.06,656,0.91
adjustable,10,7.85,725.27,1
adjusted,8,8.41,687.24,1
adjusting,9,7.76,721.33,0.97
adjustment,10,8.45,652.41,0.91
adjustments,11,7.88,788.23,0.97
adjusts,7,6.38,748.89,1
Adlai,5,5.12,1131.5,0.06
administer,10,7.75,832.74,0.97
administered,12,8.02,772.19,1
administering,13,7.19,850.85,0.81
administers,11,5.95,852.55,0.94
administration,14,10.3,954.27,1
administration's,16,6.82,1056.08,1
administrative,14,9.16,1009.93,0.97
administratively,16,4.56,1010.45,0.94
administrator,13,10.06,883.53,1
administrators,14,8.86,824.07,0.97
admirable,9,6.9,807.97,0.94
admirably,9,6.03,710.06,0.94
admiral,7,8.5,705.94,0.97
admirals,8,5.52,779.23,0.94
admiralty,9,5.53,936.35,0.67
admiration,10,7.23,857.83,0.88
admire,6,8.06,621.03,1
admired,7,7.22,699.21,1
admirer,7,6.03,891.61,0.94
admirers,8,5.9,744.64,0.97
admires,7,5.52,594.84,0.97
admiring,8,6.43,659.23,0.94
admiringly,10,3.53,840.57,0.97
admissible,10,5.9,895.97,0.88
admission,9,8.7,694.71,0.97
admissions,10,7.46,685.88,0.94
admit,5,10.21,574.65,1
admits,6,7.89,636.77,0.91
admittance,10,5.8,743.27,0.97
admitted,8,9.04,774.39,0.97
admittedly,10,8.34,934.23,0.79
admitting,9,7.73,698.92,1
admixed,7,0,1052.2,0.15
admonish,8,4.94,780.59,0.71
admonished,10,5.54,947.92,0.81
admonishing,11,4.13,895.2,0.78
admonishments,13,3.66,923.14,0.7
admonition,10,5.7,904.15,0.71
admonitions,11,4.53,869.42,0.61
ado,3,6.5,829.24,0.53
adobe,5,8.85,770.23,0.94
adolescence,11,6.67,695.06,0.97
adolescent,10,7.33,780.13,0.97
adolescents,11,6.77,703.44,1
adolescent's,12,0.69,774.35,1
Adolf,5,7.19,815.65,0.97
Adonis,6,6.21,779.41,0.5
adopt,5,8.65,614.41,1
adopted,7,9.15,649.76,1
adopting,8,7.51,630.33,0.97
adoption,8,9.07,687.85,1
adopts,6,6.11,696.47,1
adorable,8,6.84,787.06,0.97
adoration,9,6.07,801.2,0.91
adore,5,6.97,737.55,0.97
adored,6,5.87,677.69,0.97
adores,6,5.38,722.26,0.89
adorn,5,4.8,732.6,0.91
adorned,7,5.56,729.44,0.82
adornment,9,5.48,965.5,0.82
adorns,6,3.89,792.04,0.77
adrenal,7,5.84,867.22,0.79
adrenalin,9,5.77,858.96,0.76
Adrian,6,8.58,838.78,0.79
Adriatic,8,5.69,900.89,0.6
adrift,6,5.47,835.32,0.82
adroit,6,3.76,884.78,0.28
adroitness,10,1.1,885.82,0.33
ads,3,10.19,675.4,0.88
adsorbed,8,4.51,728.13,0.45
adsorbs,7,2.56,847.6,0.47
adulation,9,5.2,942.42,0.68
adult,5,10.14,546.3,1
adulterant,10,1.61,955.06,0.59
adulterate,10,2.94,1083.39,0.72
adulterated,11,4.17,914.07,0.91
adulterer,9,4.49,969.72,0.76
adulterers,10,5.06,923.7,0.87
adulteress,10,4.01,854.65,0.84
adulterous,10,4.98,933.2,0.94
adultery,8,7.11,586.7,0.97
adulthood,9,6.77,639.7,1
adults,6,9.37,561.53,1
advance,7,11.28,626.66,1
advanced,8,10.51,637.32,1
advancement,11,8.32,633.77,1
advancements,12,5.98,907.24,1
advances,8,8.44,671.41,1
advancing,9,7.64,733.03,0.97
advantage,9,10.42,662.94,0.94
advantageous,12,6.94,993.68,0.93
advantageously,14,3.56,1083.64,0.9
advantages,10,9.2,778.15,1
advent,6,7.59,681.88,0.97
adventitious,12,2.89,954.22,0.38
adventure,9,9.46,631.23,0.94
adventurers,11,7.06,870.61,0.94
adventures,10,9.16,761.15,1
adventuring,11,5.41,824.5,0.88
adventurous,11,6.97,916.21,0.91
adverb,6,5,679.62,1
adverbial,9,4.48,911.38,0.52
adverbs,7,5.21,761.21,0.97
adversaries,11,6.03,852.53,0.91
adversary,9,6.6,790.03,0.97
adverse,7,8.04,642.94,0.97
adversely,9,6.81,816.58,0.91
adversity,9,5.77,752.38,1
advert,6,6.8,768.56,0.94
advertise,9,8.94,667.42,1
advertised,10,8.73,723.03,1
advertisement,13,8.49,798.94,1
advertisements,14,8.27,839.68,0.97
advertiser,10,7.05,931.84,0.94
advertisers,11,7.82,872.64,1
advertises,10,6.73,936.16,1
advertising,11,9.99,850.21,0.97
advice,6,10.7,599.59,1
advisability,12,4.08,1059.64,0.88
advisable,9,7.09,850.2,0.88
advise,6,9.11,726.86,0.94
advised,7,8.62,685.74,1
advisedly,9,3.4,838.41,0.88
advisement,10,4.37,832.74,0.93
adviser,7,6.93,666.2,0.88
advisers,8,6.01,750.18,1
advises,7,6.75,760.23,0.94
advising,8,6.9,632.24,0.94
advisor,7,8.42,635.65,1
admonishing,9.376801647,7.367577213,783.7554221,0.961496225
admonishments,9.393468916,7.385423184,783.6379797,0.963321678
admonition,9.410136185,7.403269154,783.5205373,0.96514713
admonitions,9.426803453,7.421115125,783.4030949,0.966972582
ado,9.443470722,7.438961095,783.2856525,0.968798035
adobe,9.460137991,7.456807066,783.1682101,0.970623487
adolescence,9.47680526,7.474653036,783.0507677,0.97244894
adolescent,9.493472528,7.492499007,782.9333253,0.974274392
adolescents,9.510139797,7.510344977,782.8158829,0.976099845
adolescent's,9.526807066,7.528190948,782.6984405,0.977925297
Adolf,9.543474334,7.546036918,782.5809981,0.97975075
Adonis,9.560141603,7.563882888,782.4635557,0.981576202
adopt,9.576808872,7.581728859,782.3461133,0.983401654
adopted,9.593476141,7.599574829,782.2286709,0.985227107
adopting,9.610143409,7.6174208,782.1112285,0.987052559
adoption,9.626810678,7.63526677,781.9937861,0.988878012
adopts,9.643477947,7.653112741,781.8763437,0.990703464
adorable,9.660145215,7.670958711,781.7589013,0.992528917
adoration,9.676812484,7.688804682,781.6414589,0.994354369
adore,9.693479753,7.706650652,781.5240165,0.996179822
adored,9.710147022,7.724496622,781.4065741,0.998005274
adores,9.72681429,7.742342593,781.2891317,0.999830726
adorn,9.743481559,7.760188563,781.1716893,1.001656179
adorned,9.760148828,7.778034534,781.0542469,1.003481631
adornment,9.776816097,7.795880504,780.9368045,1.005307084
adorns,9.793483365,7.813726475,780.8193621,1.007132536
adrenal,9.810150634,7.831572445,780.7019197,1.008957989
adrenalin,9.826817903,7.849418416,780.5844773,1.010783441
Adrian,9.843485171,7.867264386,780.4670349,1.012608894
Adriatic,9.86015244,7.885110357,780.3495925,1.014434346
adrift,9.876819709,7.902956327,780.2321501,1.016259798
adroit,9.893486978,7.920802297,780.1147077,1.018085251
adroitness,9.910154246,7.938648268,779.9972653,1.019910703
ads,9.926821515,7.956494238,779.8798229,1.021736156
adsorbed,9.943488784,7.974340209,779.7623805,1.023561608
adsorbs,9.960156052,7.992186179,779.644938,1.025387061
adulation,9.976823321,8.01003215,779.5274956,1.027212513
adult,9.99349059,8.02787812,779.4100532,1.029037966
adulterant,10.01015786,8.045724091,779.2926108,1.030863418
adulterate,10.02682513,8.063570061,779.1751684,1.03268887
adulterated,10.0434924,8.081416031,779.057726,1.034514323
adulterer,10.06015966,8.099262002,778.9402836,1.036339775
adulterers,10.07682693,8.117107972,778.8228412,1.038165228
adulteress,10.0934942,8.134953943,778.7053988,1.03999068
adulterous,10.11016147,8.152799913,778.5879564,1.041816133
adultery,10.12682874,8.170645884,778.470514,1.043641585
adulthood,10.14349601,8.188491854,778.3530716,1.045467038
adults,10.16016328,8.206337825,778.2356292,1.04729249
advance,10.17683055,8.224183795,778.1181868,1.049117942
advanced,10.19349781,8.242029766,778.0007444,1.050943395
advancement,10.21016508,8.259875736,777.883302,1.052768847
advancements,10.22683235,8.277721706,777.7658596,1.0545943
advances,10.24349962,8.295567677,777.6484172,1.056419752
advancing,10.26016689,8.313413647,777.5309748,1.058245205
advantage,10.27683416,8.331259618,777.4135324,1.060070657
advantageous,10.29350143,8.349105588,777.29609,1.06189611
advantageously,10.3101687,8.366951559,777.1786476,1.063721562
advantages,10.32683596,8.384797529,777.0612052,1.065547014
advent,10.34350323,8.4026435,776.9437628,1.067372467
adventitious,10.3601705,8.42048947,776.8263204,1.069197919
adventure,10.37683777,8.438335441,776.708878,1.071023372
adventurers,10.39350504,8.456181411,776.5914356,1.072848824
adventures,10.41017231,8.474027381,776.4739932,1.074674277
adventuring,10.42683958,8.491873352,776.3565508,1.076499729
adventurous,10.44350685,8.509719322,776.2391084,1.078325182
adverb,10.46017411,8.527565293,776.121666,1.080150634
adverbial,10.47684138,8.545411263,776.0042236,1.081976086
adverbs,10.49350865,8.563257234,775.8867812,1.083801539
adversaries,10.51017592,8.581103204,775.7693388,1.085626991
adversary,10.52684319,8.598949175,775.6518964,1.087452444
adverse,10.54351046,8.616795145,775.534454,1.089277896
adversely,10.56017773,8.634641115,775.4170116,1.091103349
adversity,10.576845,8.652487086,775.2995692,1.092928801
advert,10.59351226,8.670333056,775.1821268,1.094754254
advertise,10.61017953,8.688179027,775.0646844,1.096579706
advertised,10.6268468,8.706024997,774.947242,1.098405158
advertisement,10.64351407,8.723870968,774.8297996,1.100230611
advertisements,10.66018134,8.741716938,774.7123572,1.102056063
advertiser,10.67684861,8.759562909,774.5949148,1.103881516
advertisers,10.69351588,8.777408879,774.4774724,1.105706968
advertises,10.71018314,8.79525485,774.36003,1.107532421
advertising,10.72685041,8.81310082,774.2425876,1.109357873
advice,10.74351768,8.83094679,774.1251452,1.111183326
advisability,10.76018495,8.848792761,774.0077028,1.113008778
advisable,10.77685222,8.866638731,773.8902604,1.11483423
advise,10.79351949,8.884484702,773.772818,1.116659683
advised,10.81018676,8.902330672,773.6553756,1.118485135
advisedly,10.82685403,8.920176643,773.5379332,1.120310588
advisement,10.84352129,8.938022613,773.4204908,1.12213604
adviser,10.86018856,8.955868584,773.3030484,1.123961493
advisers,10.87685583,8.973714554,773.185606,1.125786945
advises,10.8935231,8.991560525,773.0681636,1.127612398
advising,10.91019037,9.009406495,772.9507212,1.12943785
advisor,10.92685764,9.027252465,772.8332788,1.131263302
admonishing,10.94352491,9.045098436,772.7158364,1.133088755
admonishments,10.96019218,9.062944406,772.598394,1.134914207
admonition,10.97685944,9.080790377,772.4809516,1.13673966
admonitions,10.99352671,9.098636347,772.3635092,1.138565112
ado,11.01019398,9.116482318,772.2460668,1.140390565
adobe,11.02686125,9.134328288,772.1286244,1.142216017
adolescence,11.04352852,9.152174259,772.011182,1.144041469
adolescent,11.06019579,9.170020229,771.8937396,1.145866922
adolescents,11.07686306,9.187866199,771.7762971,1.147692374
adolescent's,11.09353033,9.20571217,771.6588547,1.149517827
Adolf,11.11019759,9.22355814,771.5414123,1.151343279
Adonis,11.12686486,9.241404111,771.4239699,1.153168732
adopt,11.14353213,9.259250081,771.3065275,1.154994184
adopted,11.1601994,9.277096052,771.1890851,1.156819637
adopting,11.17686667,9.294942022,771.0716427,1.158645089
adoption,11.19353394,9.312787993,770.9542003,1.160470541
adopts,11.21020121,9.330633963,770.8367579,1.162295994
adorable,11.22686848,9.348479934,770.7193155,1.164121446
adoration,11.24353574,9.366325904,770.6018731,1.165946899
adore,11.26020301,9.384171874,770.4844307,1.167772351
adored,11.27687028,9.402017845,770.3669883,1.169597804
adores,11.29353755,9.419863815,770.2495459,1.171423256
adorn,11.31020482,9.437709786,770.1321035,1.173248709
adorned,11.32687209,9.455555756,770.0146611,1.175074161
adornment,11.34353936,9.473401727,769.8972187,1.176899613
